No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years
528,MOMO,Communication Services,Internet Content & Information,China,888080000.0,4.46,4.16,3.04,0.51,0.7,6.58,-0.0848,-0.0069,0.0,0.8016,-0.024,2.29,0.1739,3.72,0.2,0.1557,-0.1147,-0.4667,0.0189,-0.8516,0.641,5.93,0.0,False,True
531,GME,Consumer Cyclical,Specialty Retail,USA,4520000000.0,-999,105.57,-999,0.79,3.58,3.98,-999,-0.0592,0.0001,0.2859,-0.0447,9.71,-0.0065,0.94,0.49,-0.0014,-0.0307,-0.4655,0.2499,-0.8776,22.0039,14.78,111791.0,True,False
536,SSRM,Basic Materials,Gold,USA,1940000000.0,9.39,15.62,-999,1.48,0.54,2.29,0.0906,0.3388,0.0,0.6754,0.0006,1.83,0.0601,3.76,0.09,0.1635,-0.1239,-0.4637,0.0085,-0.8027,14.2,9.5,0.0,False,True
541,RMBL,Consumer Cyclical,Auto & Truck Dealerships,USA,256010000.0,-999,-999,-999,0.18,0.7,1.7,0.0085,1.5075,0.3467,0.3822,0.0446,3.66,-1.0017,0.31,4.67,-0.233,0.0584,-0.4601,0.4314,-0.9668,1.4333,7.3,18938090.0,True,False
545,KRNT,Industrials,Specialty Industrial Machinery,Israel,865000000.0,-999,154.92,-999,4.02,1.05,6.93,-0.9255,0.1662,0.0,0.9084,0.0214,1.03,-0.0895,8.5,0.03,-0.3564,-0.0375,-0.4584,0.3017,-0.9046,1.1358,17.3,0.0,False,True
549,DLA,Consumer Cyclical,Apparel Manufacturing,USA,55090000.0,-999,-999,-999,0.13,0.37,0.03,-999,0.0174,0.0,0.5966,-0.0377,8.17,-0.1987,0.44,1.47,-0.08,0.0087,-0.4576,0.2202,-0.7768,2.7656,7.87,0.0,False,True
555,VFC,Consumer Cyclical,Apparel Manufacturing,USA,6820000000.0,-999,9.17,-999,0.6,3.08,1.29,-0.3444,0.0021,0.0036,0.8863,0.0046,3.17,-0.0813,0.78,3.53,-0.0189,0.0006,-0.4544,0.3642,-0.8251,38.4033,17.53,1361448.0,True,True
556,CTV,Communication Services,Advertising Agencies,USA,209430000.0,-999,-999,-999,1.55,1.08,0.34,-999,0.3601,0.0059,0.2501,0.0711,4.16,-0.1693,4.37,0.11,-0.2496,0.0197,-0.4542,0.9867,-0.8562,0.9867,1.49,353335.0,True,False
560,AG,Basic Materials,Silver,Canada,1320000000.0,-999,-999,-999,2.25,0.98,0.67,-0.063,0.2208,0.0,0.3376,-999,2.53,-0.1208,2.37,0.19,-0.2772,-0.1843,-0.4529,0.0479,-0.8292,9.6744,4.59,0.0,False,True
569,KGEI,Energy,Oil & Gas E&P,USA,114730000.0,6.75,2.28,-999,2.45,0.69,0.01,-999,0.338,0.0,0.3538,-999,0.6,0.1105,0.35,0.15,0.3685,-0.1488,-0.4477,0.0387,-0.9553,15.5979,3.22,0.0,False,True
571,NOAH,Financial,Asset Management,China,764760000.0,0.8,4.82,-999,1.59,0.53,11.8,0.0121,0.0026,0.0,0.3901,-0.0077,6.36,0.0968,-999,0.01,0.2761,-0.0804,-0.4454,0.0979,-0.8283,1.9122,11.94,0.0,False,True
578,FNKO,Consumer Cyclical,Leisure,USA,377070000.0,-999,-999,-999,0.33,1.57,0.63,-999,0.2105,0.0788,0.6567,0.0526,7.98,-0.5812,0.58,1.68,-0.1631,0.0586,-0.4426,0.4194,-0.7596,1.3974,7.48,10196596.0,True,True
582,BKSY,Technology,Scientific & Technical Instruments,USA,188750000.0,-999,-999,-999,2.41,2.01,0.36,-7.9285,0.3825,0.0,0.279,-0.0166,7.48,-0.5757,3.79,0.9,-0.8282,0.007,-0.4419,0.2692,-0.9244,0.32,1.32,0.0,False,False
585,BALY,Consumer Cyclical,Resorts & Casinos,USA,543790000.0,-999,-999,-999,0.23,0.61,6.53,-999,0.7904,0.0124,0.6502,-0.1428,4.81,-0.3989,0.64,5.42,-0.1643,-0.0311,-0.441,0.6374,-0.843,0.651,11.92,760257.0,True,True
587,GOCO,Financial,Insurance Brokers,USA,122050000.0,-999,-999,-999,0.23,0.54,2.76,-999,0.4542,0.0043,0.5519,-0.0809,13.08,-0.4465,-999,2.6,-0.2391,-0.0548,-0.4407,0.8128,-0.9675,1.5897,12.78,100275.0,True,True
