No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
1493,DOYU,-999,Communication Services,Internet Content & Information,China,346340000.0,68.89,11.04,1.9,0.44,0.37,0.4,-999,27.14,-999,0.0,-999,1.5039,1.5715,-999,0.3631,0.1464,-0.2411,-2.3534,0.0109,0.0,0.1458,0.0033,0.0437,0.0053,0.0053,4.86,4.86,0.0,0.0,0.1237,0.0064,0.1472,0.3487,0.3606,0.083,0.94,0.329,-0.1123,0.7218,-0.9473,0.7218,Mar 26/b,10.83
1494,DPCS,-999,Financial,Shell Companies,USA,80840000.0,129.65,-999,-999,-999,29.41,673.65,-999,0.02,-999,0.0,-999,-999,-999,-999,-999,0.0,-999,-1.3806,0.0552,0.0,0.3534,0.2055,0.0001,0.0119,0.1878,0.2,0.2,1.67,1.67,-999,-999,-0.0045,0.0183,0.0372,0.1172,0.03,0.0131,-0.0141,0.0701,-0.0141,0.1459,-999,11.15
1495,DPG,-999,Financial,Closed-End Fund - Equity,USA,390220000.0,-999,-999,-999,-999,-999,-999,-999,-999,0.0616,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.001,0.0902,0.1116,-999,0.0004,-999,-999,-999,-999,-999,-999,-999,-999,0.0302,0.1243,0.1356,-0.1422,0.96,0.0867,-0.1965,0.2937,-0.5958,0.9246,-999,10.22
1496,DPSI,-999,Technology,Software - Application,USA,77110000.0,103.72,-999,-999,0.68,4.06,13.23,9.25,0.76,-999,0.0,-999,-999,-999,-0.1433,-999,0.2793,-0.0526,-1.9739,0.2977,0.0,0.0538,0.1456,0.0009,0.043,0.0312,0.73,0.7,0.33,0.43,0.2521,0.0069,0.003,0.1812,0.3298,0.8071,-999,0.1341,-0.0079,1.4851,-1.0,19.08,May 15/b,10.04
1497,DPZ,S&P 500,Consumer Cyclical,Restaurants,USA,17890000000.0,33.5,28.4,2.76,3.94,-999,38.1,36.29,13.46,0.0117,0.3301,3.62,0.0868,0.1338,0.1191,0.1212,0.0557,0.0588,0.2199,0.0067,-0.125,0.9824,-0.0943,0.0419,-999,0.4696,1.76,1.61,-999,-999,0.3885,0.119,-0.0108,0.0651,0.2161,0.6818,0.85,0.0518,-0.0548,0.7948,-0.0961,211.3938,Apr 29/b,513.03
1498,DQ,-999,Technology,Solar,China,1240000000.0,8.74,4.22,-999,0.61,0.26,0.46,-999,40.74,-999,0.0,-0.24,-0.6411,1.1964,0.5644,-999,0.7643,-0.4149,-0.9334,0.0049,0.0,0.5031,0.0698,0.0434,0.0323,0.0335,4.59,4.32,0.0,0.0,0.2413,0.0784,0.0435,-0.1761,-0.0464,-0.5458,0.31,-0.2185,-0.5715,0.0815,-0.8564,26.5147,Apr 29/b,18.71
1499,DRCT,-999,Communication Services,Advertising Agencies,USA,11510000.0,27.6,10.0,-999,0.07,5.75,2.25,4.36,1.71,-999,0.0,-0.14,0.359,1.1792,-999,-999,1.2869,0.3939,-8.5263,0.1528,-0.207,0.1766,0.0801,0.0555,0.5737,0.0627,1.33,1.16,12.6,13.28,0.1124,0.0126,-0.0302,-0.4776,-0.785,0.0377,7.74,-0.7077,-0.8927,0.9643,-0.8927,2.319,Mar 26/a,3.85
1500,DRD,-999,Basic Materials,Gold,South Africa,796890000.0,11.07,10.7,1.11,2.53,2.31,9.53,-999,0.97,0.0486,0.412,-999,0.0862,0.1506,1.3383,0.1,0.1122,-999,-999,-999,-999,0.1412,0.0089,0.0147,0.2146,0.2096,3.67,3.02,0.0,0.01,0.2809,0.2301,0.0731,0.0908,0.3271,-0.2304,1.35,0.1198,-0.2745,0.4275,-0.9394,7.5152,-999,9.25
1501,DRH,RUT,Real Estate,REIT - Hotel & Motel,USA,1770000000.0,23.67,18.25,-999,1.63,1.08,10.73,13.94,0.79,0.0158,0.333,0.17,0.1769,0.0916,-0.0328,-0.095,0.2276,0.0528,-0.1234,0.0253,0.0,1.0727,0.0045,0.0787,0.0529,0.0258,-999,-999,0.78,0.78,0.1979,0.0696,-0.0082,-0.0387,-0.0816,0.0407,1.59,-0.0793,-0.1552,0.1514,-0.603,3.3223,May 02/a,8.44
1502,DRI,S&P 500,Consumer Cyclical,Restaurants,USA,18380000000.0,18.05,16.06,1.79,1.64,8.43,68.56,19.04,2.25,0.0342,0.6058,2.62,0.1057,0.0839,0.1105,0.1006,0.0639,0.0677,0.1108,0.0038,-0.085,0.9758,-0.0113,0.0519,0.4905,0.12,0.39,0.25,2.95,3.12,0.1719,0.0924,0.0388,0.0112,-0.0521,-0.0296,1.28,-0.0312,-0.1291,0.1548,-0.1291,37.2213,Mar 21/b,154.0
1503,DRIO,-999,Healthcare,Health Information Services,USA,56850000.0,-999,-999,-999,2.99,0.72,1.61,-999,1.18,-999,-999,-0.27,0.5095,0.6989,0.3416,-999,0.3633,-0.1851,0.5546,0.1702,0.0,0.299,-0.1065,0.0542,-0.6591,-0.4774,2.95,2.67,0.33,0.39,0.2756,-2.5967,0.2102,0.6522,-0.1915,-0.4892,1.58,0.2798,-0.5852,1.7941,-0.9997,1.7941,May 15/b,1.9
1504,DRQ,RUT,Energy,Oil & Gas Equipment & Services,USA,662590000.0,-999,23.24,-999,1.49,0.77,3.21,26.96,5.99,-999,0.0,0.17,3.6176,0.8613,-999,-999,0.0271,0.2139,-9.6657,0.0186,-0.0507,1.0143,-0.0192,0.0363,-0.025,-0.0249,5.35,3.79,0.02,0.02,0.2753,-0.0489,0.0201,-0.0103,-0.092,-0.1919,0.92,-0.1003,-0.3776,0.0815,-0.841,2.3304,May 02/a,19.25
1505,DRS,RUT,Industrials,Aerospace & Defense,USA,6140000000.0,33.48,24.06,2.41,2.09,2.61,38.38,28.04,0.61,-999,0.0,0.13,0.1086,0.1993,-999,0.139,0.0416,0.2091,1.3799,0.7235,-0.0981,0.2577,-0.0042,0.031,0.0823,0.0664,1.96,1.59,0.18,0.21,0.2204,0.0628,0.0277,0.0988,0.1056,0.5202,0.82,0.0735,-0.0271,0.6537,-0.8463,42.2407,May 01/b,23.35
1506,DRTS,-999,Healthcare,Biotechnology,Israel,197170000.0,-999,-999,-999,-999,2.33,2.32,-999,1.22,-999,-999,-0.13,-0.2137,-0.0911,-999,-999,0.0,-999,-1.1527,0.2633,0.0,0.0256,0.0298,0.0006,-0.3067,-0.3016,12.07,12.07,0.14,0.16,-999,-999,0.0927,0.0639,-0.0752,-0.1552,0.78,0.0346,-0.4104,0.3162,-0.863,0.3162,Mar 07/a,2.83
