No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
3258,PRCH,-999,Technology,Software - Application,USA,312430000.0,-999.0,-999.0,-999.0,0.82,-999.0,0.8,1.73,3.95,-999.0,-999.0,-0.21,0.0206,0.426,-999.0,-999.0,0.6985,0.719,0.9325,0.233,0.113,0.5275,-0.1374,0.1262,-4.283,-0.4216,1.01,1.01,-999.0,-999.0,0.4583,-0.4395,0.3277,0.4044,1.1497,-0.1596,2.07,0.2341,-0.1782,5.3838,-0.8851,5.3838,Mar 07/a,3.16,1879859.0,True,False,5
2241,KFS,RUT,Consumer Cyclical,Auto & Truck Dealerships,USA,246120000.0,7.66,-999.0,0.77,2.34,7.55,8.36,-999.0,1.04,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.1,0.1531,-0.0714,-1.0247,0.2817,0.0018,0.4504,0.0024,0.0254,0.8873,0.401,-999.0,-999.0,1.33,1.33,0.4286,0.2803,-0.0136,0.0662,0.2067,-0.029,-0.12,0.0304,-0.1792,0.392,-0.9084,5.9048,Aug 08/a,8.7,118519.0,True,True,3
3959,TLS,-999,Technology,Software - Infrastructure,USA,285440000.0,-999.0,-999.0,-999.0,1.88,1.74,2.86,-999.0,1.44,-999.0,-999.0,-0.11,-2.3461,-0.0642,-999.0,-999.0,0.1314,-0.431,-0.1452,0.2705,0.0137,0.6301,0.0105,0.0149,-0.2713,-0.2658,4.6,4.57,0.06,0.07,0.3709,-0.305,-0.0443,0.0327,0.0992,-0.0787,0.85,-0.0003,-0.18,1.6797,-0.902,1.6797,Nov 09/b,4.1,552941.0,True,True,4
1700,GEG,-999,Financial,Asset Management,USA,61360000.0,6.6,-999.0,0.33,5.55,0.86,0.5,-999.0,3.88,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.2,1.56,0.5003,-1.0161,0.1343,0.152,0.5908,0.0142,0.0004,-0.0534,0.0699,19.51,19.51,0.95,0.95,-0.1423,0.8326,0.0,-0.0152,-0.0251,-0.0583,1.12,0.0128,-0.195,0.2201,-0.9997,0.4809,Feb 13/a,1.94,1116586.0,True,True,6
1559,FLWS,RUT,Consumer Cyclical,Specialty Retail,USA,625650000.0,-999.0,22.96,-999.0,0.33,1.25,2.01,6.53,4.84,-999.0,-999.0,-0.24,-0.131,1.3151,-999.0,0.2,0.1312,-0.0844,-0.2436,0.5645,0.0014,0.3811,-0.022,0.0659,-0.1163,-0.0777,1.59,1.12,0.58,0.63,0.3627,-0.0324,0.0486,-0.0858,0.1175,-0.0673,1.67,-0.0478,-0.1977,0.6234,-0.7551,10.4118,Feb 01/b,9.7,314490.0,True,True,4
2339,LC,RUT,Financial,Credit Services,USA,955050000.0,24.21,10.06,-999.0,0.75,0.77,0.74,-999.0,11.8,-999.0,0.0,0.01,-0.3513,2.7066,-999.0,-0.086,0.0806,-0.0028,-0.5849,0.0391,0.0288,0.7482,0.0149,0.025,0.0322,0.0298,-999.0,-999.0,0.04,0.05,0.7536,0.0307,0.0093,0.1282,0.5174,-0.1633,2.02,0.0423,-0.2024,0.8414,-0.9405,1.0185,Jan 30/a,8.71,623109.0,True,True,4
3756,SQ,-999,Technology,Software - Infrastructure,USA,40310000000.0,-999.0,20.9,-999.0,1.94,2.26,5.89,50.66,11.15,-999.0,-999.0,0.58,0.9399,0.619,-0.4134,0.6928,0.5741,0.244,-0.9113,0.1234,0.0063,0.6191,-0.0012,0.031,-0.0164,-0.0127,1.91,1.9,0.25,0.25,0.3331,-0.0136,-0.0185,0.0181,0.1659,-0.2062,2.52,-0.0535,-0.2099,0.6896,-0.7731,7.1429,Feb 22/a,65.64,23940745.0,True,True,4
2367,LFVN,-999,Consumer Defensive,Packaged Foods,USA,88160000.0,29.55,9.79,2.46,0.42,3.23,5.09,7.86,1.35,0.0197,0.6185,0.16,1.5,0.1667,-0.1319,0.12,0.0119,-0.038,0.3839,0.208,0.0135,0.2861,0.0971,0.0081,0.1,0.0751,1.68,1.03,0.44,0.5,0.7965,0.014,0.0363,0.1955,0.4606,0.8186,0.77,0.1297,-0.2117,1.381,-0.9489,14.2061,Jan 30/a,6.85,176748.0,True,True,4
2415,LOVE,RUT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,373460000.0,18.92,11.78,0.63,0.54,2.01,9.9,9.84,2.44,-999.0,0.0,1.84,-0.1842,0.4169,-999.0,0.3,0.4104,0.1428,0.7274,0.1289,0.0787,0.9196,-0.0563,0.2779,0.1196,0.0622,1.74,0.64,0.78,0.87,0.5443,0.0298,-0.0255,0.0778,0.2656,-0.1901,2.91,-0.0241,-0.2206,0.7003,-0.7476,5.035,Dec 06/b,24.11,3795508.0,True,True,3
2363,LFMD,-999,Healthcare,Health Information Services,USA,277930000.0,-999.0,-999.0,-999.0,2.05,-999.0,18.18,245.95,0.39,-999.0,-999.0,-0.14,0.5465,0.5955,-0.6117,-999.0,1.0652,0.2293,0.2319,0.2269,0.0151,0.3184,-0.0227,0.0811,-7.1995,-5.0436,0.77,0.65,-999.0,-999.0,0.8174,-0.2349,0.1956,0.1817,-0.0584,2.599,1.37,0.0416,-0.2217,5.2193,-0.7853,46.2667,Nov 08/a,7.09,501018.0,True,False,4
1468,FARM,-999,Consumer Defensive,Packaged Foods,USA,76480000.0,-999.0,-999.0,-999.0,0.2,1.74,10.76,-999.0,0.34,-999.0,-999.0,-0.16,0.9356,0.0385,-0.2945,0.3,-0.1023,-0.3259,1.1779,0.1957,0.0249,0.4394,0.014,0.0104,-0.426,-0.6755,1.42,0.67,0.94,1.23,0.334,-0.1491,-0.0109,0.1379,0.418,-0.1806,1.75,0.0993,-0.226,1.0743,-0.9079,1.0743,Feb 08/a,3.63,257766.0,True,False,1
3245,POWW,RUT,Industrials,Aerospace & Defense,USA,288340000.0,-999.0,21.13,-999.0,1.94,0.8,5.27,7.61,0.46,-999.0,-999.0,0.01,-1.0625,12.5,0.2517,-999.0,1.8871,-0.0699,0.5072,0.2578,0.0006,0.2648,-0.0859,0.0356,-0.0358,-0.0435,4.85,2.99,0.03,0.04,0.2137,-0.1098,-0.0319,0.203,0.0995,0.243,0.35,0.1265,-0.2286,0.5478,-0.9878,96.2,Feb 08/a,2.43,118248.0,True,True,6
96,AEYE,-999,Technology,Software - Application,USA,70620000.0,-999.0,54.55,-999.0,2.26,9.18,21.6,-999.0,0.28,-999.0,-999.0,0.03,1.5625,1.4444,0.504,-999.0,0.5553,0.0179,0.4247,0.4826,0.0234,0.1026,-0.0276,0.0071,-0.7528,-0.8829,0.75,0.75,0.06,0.11,0.7744,-0.2329,0.1257,0.1385,0.3393,-0.1273,1.24,0.2423,-0.2395,0.5991,-0.92,7.8889,Nov 03/b,6.0,508376.0,True,False,4
1936,HOUS,RUT,Real Estate,Real Estate Services,USA,782270000.0,-999.0,8.54,-999.0,0.14,0.47,6.57,6.8,1.08,-999.0,-999.0,-0.66,0.963,26.4727,-999.0,-0.012,0.0078,-0.0552,0.7659,0.0338,0.0081,1.0022,-0.0326,0.0657,-0.0563,-0.0228,-999.0,-999.0,1.53,1.85,0.0834,-0.0172,-0.0458,0.1132,0.3563,-0.1899,2.53,-0.0225,-0.2488,0.7311,-0.8719,2.3876,Feb 15/b,7.08,160125.0,True,True,3
749,CCL,S&P 500,Consumer Cyclical,Travel Services,USA,18700000000.0,-999.0,10.77,-999.0,0.87,2.72,7.71,18.76,1.92,-999.0,-999.0,-0.18,-999.0,0.3764,-999.0,-999.0,0.9729,0.4058,0.9701,0.2218,0.0015,0.4912,0.0928,0.0905,-0.0106,-0.002,0.43,0.39,4.31,4.63,0.2273,-0.0034,-0.0333,-0.1435,0.0158,0.2141,2.56,-0.1353,-0.2503,0.7682,-0.7964,6.6053,Dec 21/b,14.8,5114894.0,True,False,2
