No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
3337,QUAD,Industrials,Specialty Business Services,USA,284770000.0,-999.0,13.54,-999.0,0.09,2.0,0.21,-0.3884,-0.0429,0.0,0.3432,-0.1163,16.42,-0.2995,0.51,4.84,-0.0138,0.0673,-0.1342,1.0709,-0.8767,1.775,5.55,0.0,False,True,1
297,ARMN,Basic Materials,Gold,Canada,430720000.0,20.31,-999.0,-999.0,1.01,0.72,1.53,-0.684,0.1093,0.0,0.3434,-999.0,8.26,0.036,2.5,0.62,0.0471,0.004,-0.1343,0.5213,-0.9965,3.7348,3.12,0.0,False,True,5
1751,GLNG,Energy,Oil & Gas Midstream,Bermuda,2270000000.0,-999.0,10.69,-999.0,8.18,1.07,7.5,-999.0,-0.0896,0.0,0.7845,-0.0389,2.31,0.0238,1.95,0.55,0.2069,-0.0195,-0.1345,0.1055,-0.7086,7.7446,21.69,0.0,False,True,4
48,ACNT,Basic Materials,Steel,USA,101100000.0,-999.0,11.47,-999.0,0.36,1.05,0.07,0.6984,0.1176,0.0,0.478,-0.0461,0.83,-0.1871,1.41,0.9,-0.1341,0.1066,-0.1359,0.3861,-0.7897,5.9092,9.98,0.0,False,True,5
1817,GRPN,Communication Services,Internet Content & Information,USA,446700000.0,-999.0,21.8,-999.0,0.85,-999.0,3.18,-999.0,-0.3045,0.0178,0.4951,-0.0871,4.63,-5.8421,0.48,-999.0,-0.2635,0.1598,-0.1369,3.8529,-0.9775,3.8529,14.02,3069745.0,True,True,3
3538,SBLK,Industrials,Marine Shipping,Greece,2020000000.0,9.95,5.92,-999.0,2.06,1.11,3.2,-999.0,0.2937,0.0,0.3133,-0.1416,2.02,0.1134,1.21,0.58,0.224,0.0308,-0.1402,0.2987,-0.9814,12.7289,21.52,0.0,False,True,5
4075,UIS,Technology,Information Technology Services,USA,456850000.0,-999.0,44.53,-999.0,0.23,-999.0,5.63,-0.0387,-0.081,0.0,0.8621,0.0103,2.31,-999.0,1.37,-999.0,-0.1275,0.13,-0.1403,1.5692,-0.9866,1.5692,6.68,0.0,False,True,4
2352,LE,Consumer Cyclical,Apparel Retail,USA,292170000.0,-999.0,61.93,-999.0,0.2,1.17,1.23,-999.0,0.0201,0.0002,0.3277,-0.0798,9.25,-0.3939,0.41,1.48,-0.0843,0.0855,-0.1406,0.5535,-0.8348,1.2938,9.29,28198.0,False,True,2
2175,JAKK,Consumer Cyclical,Leisure,USA,318720000.0,3.68,6.77,0.25,0.45,1.61,9.58,-999.0,0.1005,0.0,0.4183,-0.0154,1.09,0.5653,1.21,0.13,0.1216,-0.033,-0.1409,1.3153,-0.8993,9.55,31.65,0.0,False,True,5
1711,GENI,Communication Services,Internet Content & Information,United Kingdom,1510000000.0,-999.0,-999.0,-999.0,3.87,2.62,0.44,-999.0,0.453,0.0,0.5731,-0.0193,2.51,-0.3039,1.42,0.03,-0.4469,0.2291,-0.142,1.0423,-0.7121,2.2955,7.25,0.0,False,False,4
157,ALKS,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,4460000000.0,21.66,11.14,0.87,2.81,3.29,5.33,0.0124,0.0086,0.0,1.0111,-0.0128,5.45,0.1791,2.53,0.28,0.135,-0.0102,-0.1467,0.3069,-0.708,29.6825,26.74,0.0,False,False,6
1880,HEAR,Technology,Consumer Electronics,USA,196790000.0,-999.0,42.68,-999.0,0.76,2.72,0.71,-0.6684,0.006,0.0,0.7749,-0.1171,3.06,-0.5444,0.74,0.29,-0.1906,0.0384,-0.1471,0.8331,-0.8737,5.8963,11.31,0.0,False,True,3
55,ACTG,Industrials,Business Equipment & Supplies,USA,396560000.0,-999.0,14.18,-999.0,8.64,0.67,4.16,-999.0,0.5907,0.0,0.8621,-0.0381,3.0,-0.0711,22.03,0.01,-0.816,0.0305,-0.1472,0.1574,-0.916,3.1354,3.97,0.0,False,True,5
3078,PBI,Industrials,Integrated Freight & Logistics,USA,715900000.0,-999.0,31.23,-999.0,0.22,-999.0,3.53,-999.0,0.0074,0.0,0.6141,-0.0242,7.33,0.1097,0.94,-999.0,-0.1181,-0.0318,-0.1488,0.45,-0.9434,1.9814,4.06,0.0,False,True,4
372,AVAH,Healthcare,Medical Care Facilities,USA,482550000.0,-999.0,-999.0,-999.0,0.26,-999.0,0.25,-0.9367,0.093,0.0,0.1971,-0.0002,9.45,-5.6705,0.87,-999.0,-0.1856,0.0058,-0.1567,1.9765,-0.8054,2.7965,2.53,0.0,False,False,4
929,CNX,Energy,Oil & Gas E&P,USA,3160000000.0,2.19,9.03,0.05,2.1,0.8,0.0,0.197,0.1617,0.0354,1.0201,-0.0621,11.16,0.4757,0.51,0.54,1.1589,-0.021,-0.1599,0.3851,-0.7998,4.2526,19.89,0.0,False,False,6
3820,SWN,Energy,Oil & Gas E&P,USA,7100000000.0,1.39,8.62,0.07,0.87,1.09,0.02,0.0038,0.6713,0.0,0.8192,-0.0435,1.59,1.2869,0.59,0.65,0.6231,-0.0127,-0.1612,0.4114,-0.8779,15.2947,6.45,0.0,False,True,5
300,ARQ,Industrials,Pollution & Treatment Controls,USA,104740000.0,-999.0,-999.0,-999.0,1.11,0.6,1.58,-999.0,0.601,0.0144,0.1651,-0.0276,0.15,-0.118,3.31,0.18,-0.1996,0.1312,-0.1667,1.6923,-0.892,2.15,3.15,0.0,False,True,5
752,CCL,Consumer Cyclical,Travel Services,USA,20770000000.0,-999.0,12.2,-999.0,0.96,3.02,1.92,-999.0,0.9729,0.0015,0.474,0.093,3.32,-0.0106,0.39,4.63,-0.0034,-0.0315,-0.1672,0.9642,-0.7739,7.448,16.44,5114894.0,True,False,2
2246,KFS,Consumer Cyclical,Auto & Truck Dealerships,USA,249520000.0,7.76,-999.0,0.78,2.37,7.66,1.04,-999.0,0.1531,0.0018,0.4606,0.0024,10.54,0.8873,-999.0,1.33,0.2803,0.0807,-0.1679,0.4112,-0.9071,6.0,8.82,118518.0,True,True,3
685,BZH,Consumer Cyclical,Residential Construction,USA,939910000.0,5.9,5.3,1.48,0.44,0.84,4.39,-999.0,0.0102,0.0,0.8652,-0.0059,2.59,0.1497,0.82,0.89,0.0726,-0.0302,-0.1703,1.1984,-0.9274,23.8417,29.81,0.0,False,True,4
2342,LC,Financial,Credit Services,USA,991240000.0,25.29,10.44,-999.0,0.78,0.8,11.8,-999.0,0.0806,0.0288,0.726,0.0149,1.61,0.0322,-999.0,0.02,0.0307,0.1555,-0.1722,0.9112,-0.9383,1.095,9.04,623109.0,True,True,4
3840,TAL,Consumer Defensive,Education & Training Services,China,5460000000.0,-999.0,144.91,-999.0,4.1,1.51,6.93,-999.0,0.0708,0.0,0.5226,-0.0671,3.55,-0.019,3.17,0.06,-0.053,-0.0464,-0.1761,1.1849,-0.8779,8.6027,11.11,0.0,False,False,4
1250,DX,Real Estate,REIT - Mortgage,USA,699060000.0,-999.0,13.26,-999.0,-999.0,0.92,4.2,-0.003,0.2923,0.0,0.4785,0.0871,2.61,-0.0069,-999.0,6.18,0.144,0.0065,-0.1768,0.2894,-0.9323,11.2183,12.34,0.0,False,True,4
1808,GRAB,Technology,Software - Application,Singapore,12430000000.0,-999.0,-999.0,-999.0,5.63,1.98,1.24,-999.0,1.0391,0.0,0.3563,0.0128,4.1,-0.1302,3.76,0.12,-0.3871,0.0183,-0.1786,0.2151,-0.8222,0.4703,3.22,0.0,False,False,4
4023,TTSH,Consumer Cyclical,Home Improvement Retail,USA,280540000.0,25.22,-999.0,1.26,0.74,2.36,0.38,0.0871,0.0282,0.036,0.4351,-0.2518,4.39,0.0905,0.36,1.19,0.0286,-0.0784,-0.1786,0.5479,-0.7787,67.346,6.3,4196799.0,True,True,3
1057,CULP,Consumer Cyclical,Textile Manufacturing,USA,61230000.0,-999.0,14.88,-999.0,0.27,0.73,1.3,-999.0,-0.054,0.0228,0.4934,-0.0138,2.75,-0.2091,1.06,0.06,-0.0847,-0.0858,-0.1807,0.169,-0.8693,3.1133,4.91,183147.0,True,True,4
658,BVS,Healthcare,Medical Devices,USA,285250000.0,-999.0,13.56,-999.0,0.57,1.61,0.43,-0.8253,0.135,0.0146,0.317,0.0206,4.85,-0.4706,0.94,2.31,-0.3621,-0.0439,-0.1828,4.6632,-0.7728,4.6632,4.53,1767090.0,True,True,2
2065,ILPT,Real Estate,REIT - Industrial,USA,267310000.0,-999.0,-999.0,-999.0,0.61,0.37,3.38,-999.0,0.2875,0.0007,0.5334,0.0134,1.58,-0.1413,-999.0,6.07,-0.2478,-0.014,-0.1847,1.4681,-0.8583,1.4681,4.06,0.0,False,True,3
245,AOUT,Consumer Cyclical,Leisure,USA,118400000.0,-999.0,18.18,-999.0,0.61,0.64,0.65,-999.0,0.0594,0.0091,0.5336,0.079,2.54,-0.0558,1.62,0.13,-0.0552,0.0831,-0.1867,0.3128,-0.7501,0.3128,9.15,50026.0,False,True,5
2270,KNOP,Industrials,Marine Shipping,United Kingdom,193740000.0,-999.0,-999.0,-999.0,0.67,0.38,1.56,-0.0831,-0.0085,0.0,0.1781,-0.0678,1.8,-0.0362,0.44,1.59,-0.0796,-0.013,-0.1871,0.3294,-0.8096,0.3294,5.69,0.0,False,True,2
3137,PFMT,Industrials,Specialty Business Services,USA,224490000.0,-999.0,-999.0,-999.0,2.03,2.87,0.23,0.1862,-0.0804,0.0,0.678,-0.0074,4.16,-0.1111,3.48,0.15,-0.0816,0.0121,-0.1911,0.46,-0.7928,4.4074,2.92,0.0,False,False,4
683,BYRN,Industrials,Aerospace & Defense,USA,184410000.0,-999.0,-999.0,-999.0,4.29,4.37,0.62,-999.0,5.4107,0.0059,0.2334,-0.04,7.34,-0.1676,3.11,0.05,-0.1743,0.376,-0.1917,2.8311,-0.7902,19.6941,8.39,93617.0,False,False,4
