No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
3630,SIX,Consumer Cyclical,Leisure,USA,2130000000.0,28.54,13.56,4.7,1.51,-999,0.79,-0.161,0.5903,-0.0106,1.0303,0.0793,5.37,-999,0.42,-999,0.0529,0.0246,-0.1905,0.3849,-0.6548,2.1812,25.33
3631,SJM,Consumer Defensive,Packaged Foods,USA,13580000000.0,-999,12.55,-999,1.66,1.84,38.22,-999,0.0305,-0.0039,0.7994,-0.0102,3.32,-0.0017,2.61,1.12,-0.0016,0.0169,-0.2002,0.1917,-0.2157,68.701,127.9
3632,SJT,Energy,Oil & Gas E&P,USA,206010000.0,2.68,-999,-999,2.62,73.67,0.08,0.147,0.104,0.0,0.142,0.1346,0.73,-999,-999,0.0,0.979,-0.1843,-0.6054,0.0114,-0.9141,2.1799,4.42
3633,SJW,Utilities,Utilities - Regulated Water,USA,1900000000.0,18.67,21.48,3.06,2.83,1.55,0.66,-0.0325,0.1245,0.0,0.7776,-0.0326,3.08,0.0877,0.74,1.4,0.1485,-0.0741,-0.2749,0.0422,-0.2923,36.743,59.36
3634,SKE,Basic Materials,Other Industrial Metals & Mining,Canada,369220000.0,-999,-999,-999,-999,3.58,0.34,-0.145,0.0,0.0,0.5674,-999,9.64,-0.6838,1.35,0.02,-999,-0.0529,-0.4497,0.3826,-0.9781,4.4225,4.21
3635,SKGR,Financial,Shell Companies,USA,294750000.0,36.92,-999,-999,-999,1.39,0.0,-999,0.0,0.0,0.6657,-999,0.0,0.0384,0.06,0.02,-999,0.0349,-0.0306,0.0933,-0.1,0.1398,11.25
3636,SKIL,Consumer Defensive,Education & Training Services,USA,103300000.0,-999,-999,-999,0.19,0.23,16.95,-999,0.0739,0.0121,0.3034,-0.4469,4.7,-0.3149,0.94,1.45,-0.2871,-0.1858,-0.7051,0.0875,-0.9503,0.0875,12.8
3637,SKIN,Consumer Defensive,Household & Personal Products,USA,375430000.0,-999,160.49,-999,0.94,4.21,4.26,-999,0.4351,0.0049,0.7959,-0.0093,2.16,-0.5113,5.27,8.36,-0.2227,-0.015,-0.7942,1.1185,-0.9052,1.1185,2.86
3638,SKLZ,Communication Services,Electronic Gaming & Multimedia,USA,138780000.0,-999,-999,-999,0.83,0.6,15.62,-999,0.1807,-0.0083,0.2926,-0.6199,8.23,-0.7109,5.41,0.6,-1.3977,0.1057,-0.6365,0.6338,-0.993,0.6338,6.47
3639,SKT,Real Estate,REIT - Retail,USA,2840000000.0,30.83,31.37,4.6,6.27,5.79,1.91,0.016,-0.0217,-0.1012,0.8685,0.002,5.35,0.1888,-999,3.08,0.2049,-0.0052,-0.0629,0.5656,-0.3611,5.6568,26.96
3640,SKWD,Financial,Insurance - Property & Casualty,USA,1170000000.0,17.39,12.85,-999,1.4,2.16,-999,-999,0.192,-0.1568,0.6289,-999,2.99,0.1395,-999,0.24,0.0791,-0.0504,-0.1038,0.7625,-0.1038,0.7686,30.95
3641,SKX,Consumer Cyclical,Footwear & Accessories,USA,9070000000.0,16.88,12.83,0.62,1.13,2.29,8.2,0.1265,0.1264,-0.0218,0.8377,-0.0173,1.3,0.1438,1.46,0.42,0.0682,-0.0415,-0.096,0.4175,-0.096,53.3785,58.91
3642,SKY,Consumer Cyclical,Residential Construction,USA,4690000000.0,23.23,24.46,14.52,2.37,3.29,8.62,1.2686,0.2112,-0.0251,1.0404,-0.0114,4.23,0.1554,1.71,0.07,0.1018,0.1622,0.0067,0.5574,-0.0553,37.1027,81.17
3643,SKYH,Industrials,Aerospace & Defense,USA,254770000.0,-999,-999,-999,42.82,7.85,6.12,-999,0.0846,0.0,0.4213,-0.1669,9.21,-0.2118,9.9,10.06,-0.8544,0.047,-0.0954,1.8096,-0.7314,3.664,11.66
3644,SKYT,Technology,Semiconductors,USA,483370000.0,-999,95.93,-999,1.77,7.69,0.37,-3.8869,0.1322,-0.0241,0.2074,0.1029,5.41,-0.4726,0.83,1.55,-0.0861,0.1943,-0.3571,1.1734,-0.7207,1.3205,10.28
3645,SKYW,Industrials,Airlines,USA,2430000000.0,67.93,7.89,4.47,0.83,1.14,20.4,-0.3202,-0.0004,0.0,0.7968,-0.0547,4.75,0.0154,0.86,1.42,0.0117,0.1541,-0.0197,2.3251,-0.1082,110.2358,59.32
3646,SKYX,Industrials,Electrical Equipment & Parts,USA,141940000.0,-999,-999,-999,3.88,8.29,0.21,0.3123,-0.6742,0.0,0.1102,2.2751,17.19,-2.1889,0.72,2.14,-0.883,-0.0479,-0.6111,0.2833,-0.9038,0.2833,1.54
3647,SLAB,Technology,Semiconductors,USA,4530000000.0,-999,38.02,-999,5.79,3.76,13.82,-999,0.0177,-0.0097,1.0164,-0.0089,3.95,-0.0264,3.32,0.04,-0.0441,0.1517,-0.2682,0.9107,-0.328,13.0701,142.46
3648,SLB,Energy,Oil & Gas Equipment & Services,USA,67200000000.0,16.17,11.3,0.82,2.03,3.33,2.79,0.1374,0.0193,-0.0641,0.8369,0.0387,1.5,0.2219,1.0,0.62,0.1269,-0.0703,-0.2421,0.1018,-0.6036,7.1558,47.08
3649,SLCA,Energy,Oil & Gas Equipment & Services,USA,796960000.0,5.42,7.48,0.19,0.49,0.97,2.88,-0.1069,0.0488,-0.0137,0.8732,0.0301,7.93,0.2021,2.07,1.16,0.0917,-0.0548,-0.2944,0.0238,-0.8593,12.0759,10.33
3650,SLDB,Healthcare,Biotechnology,USA,291280000.0,-999,-999,-999,-999,1.08,3.82,0.1017,-0.1014,0.4439,0.5844,-0.0062,0.55,-0.6316,9.38,0.19,-999,0.2796,-0.1403,3.2983,-0.9905,3.2983,7.78
3651,SLDP,Industrials,Electrical Equipment & Parts,USA,290860000.0,-999,-999,-999,15.1,0.56,1.08,-999,1.8183,-0.0122,0.2318,0.3922,3.29,-0.0878,17.12,0.02,-2.4392,0.151,-0.5676,0.4785,-0.8902,0.4785,1.63
3652,SLF,Financial,Insurance - Diversified,Canada,31020000000.0,13.64,9.74,3.39,1.15,1.92,-999,0.0398,0.0591,0.0,0.4975,0.0355,2.56,0.123,-999,0.27,0.0851,0.0358,-0.0023,0.2196,-0.1042,5.1207,53.09
3653,SLG,Real Estate,REIT - Office,USA,3050000000.0,-999,-999,-999,3.54,0.81,4.89,-999,-0.0627,-0.045,0.8603,-0.0328,8.83,-0.1282,-999,1.12,-0.6731,0.0033,-0.1118,1.3352,-0.72,4.7399,44.51
