No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years
1183,MMLP,Energy,Oil & Gas Midstream,USA,91440000.0,-999,29.37,-999,0.11,-999,0.0,-999,0.0228,0.0754,0.3521,0.0113,2.55,-999,0.87,-999,-0.0062,-0.0496,-0.2985,0.2051,-0.9519,1.5967,2.35,1023896.0,True,True
1210,HOUS,Real Estate,Real Estate Services,USA,770120000.0,-999,91.13,-999,0.13,0.43,1.43,-999,0.0558,0.0081,1.0127,-0.0322,5.66,-0.2217,-999,1.79,-0.0776,0.0866,-0.2924,0.7042,-0.8739,2.3349,6.97,160125.0,True,True
1226,HGBL,Financial,Capital Markets,USA,107740000.0,6.16,8.97,-999,1.82,1.9,0.42,-999,0.2276,0.0082,0.3623,-0.1037,0.28,0.3709,1.47,0.21,0.2971,0.0311,-0.2892,0.2889,-0.9928,-999,2.9,155565.0,True,True
1231,GRPN,Communication Services,Internet Content & Information,USA,368190000.0,-999,16.92,-999,0.7,-999,3.18,-999,-0.3045,0.0215,0.4956,-0.0871,3.84,-5.8421,0.48,-999,-0.2635,-0.0145,-0.2886,3.0,-0.9814,3.0,11.56,3069745.0,True,True
1264,STXS,Healthcare,Medical Instruments & Supplies,USA,160140000.0,-999,-999,-999,5.43,8.56,0.28,0.042,0.0063,0.0154,0.4763,-0.0202,2.88,-0.6879,2.2,0.23,-0.7174,0.1477,-0.2787,0.4887,-0.9871,3.2128,1.98,305084.0,True,True
1336,EPSN,Energy,Oil & Gas E&P,USA,104370000.0,7.99,-999,-999,2.79,1.05,1.42,0.4109,0.3001,0.0272,0.6436,-0.0001,5.36,0.1402,7.33,0.01,0.3667,-0.0891,-0.2629,-0.0021,-0.7342,6.8239,4.71,143081.0,True,True
1355,SQ,Technology,Software - Infrastructure,USA,40950000000.0,-999,21.4,-999,1.97,2.29,11.15,-0.4134,0.5741,0.0062,0.5961,-0.0012,1.57,-0.0164,1.9,0.25,-0.0136,0.0101,-0.2588,0.7166,-0.7694,7.2732,66.69,23103297.0,True,True
1400,PGRE,Real Estate,REIT - Office,USA,1100000000.0,-999,-999,-999,1.5,0.32,2.16,-999,-0.006,0.0022,0.675,-0.0365,5.45,-0.0259,-999,1.12,-0.1255,0.0221,-0.2493,0.2974,-0.7496,0.2974,5.06,326490.0,True,True
1472,GAIA,Communication Services,Entertainment,USA,66730000.0,-999,-999,-999,0.84,0.71,0.49,0.3725,0.1862,0.0194,0.2599,0.0571,1.15,-0.0489,0.49,0.26,-0.0551,0.0681,-0.2368,0.3744,-0.9056,0.4146,2.9,453138.0,True,True
1478,LOVE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,366180000.0,18.55,11.55,0.62,0.53,1.97,2.44,-999,0.4542,0.0787,0.9618,-0.0563,9.5,0.1196,0.64,0.87,0.0298,0.0366,-0.2358,0.6671,-0.7525,4.9174,23.64,3795508.0,True,True
1544,LC,Financial,Credit Services,USA,927640000.0,17.27,25.3,-999,0.73,0.77,12.31,-999,0.0991,0.0288,0.7315,0.015,1.58,0.045,-999,0.08,0.0412,0.1701,-0.2253,0.7886,-0.9422,0.9606,8.46,623109.0,True,True
1618,CTRN,Consumer Cyclical,Apparel Retail,USA,234080000.0,-999,-999,-999,0.32,1.53,6.99,0.474,0.0209,1.1063,0.9973,-0.0966,12.15,-0.0571,0.48,1.59,-0.012,0.0675,-0.2155,0.9296,-0.754,3.091,27.41,10042378.0,True,True
1736,FSP,Real Estate,REIT - Office,USA,258580000.0,-999,-999,-999,1.66,0.36,0.13,-999,-0.115,0.0056,0.6531,-0.0129,0.98,-0.0735,-999,0.55,-0.3503,0.0126,-0.2009,1.2387,-0.8726,1.2387,2.5,244402.0,True,True
1747,GEG,Financial,Asset Management,USA,60160000.0,1.87,-999,0.09,5.95,0.86,3.65,-999,1.56,0.1546,0.6023,0.0145,0.54,0.5686,23.46,0.94,3.8646,-0.006,-0.1992,0.2138,-0.9997,0.4733,1.93,1116586.0,True,True
1797,KFS,Consumer Cyclical,Auto & Truck Dealerships,USA,241880000.0,7.53,-999,0.75,2.3,7.42,1.04,-999,0.1531,0.0018,0.4606,0.0024,8.48,0.8873,-999,1.33,0.2803,0.0822,-0.1934,0.368,-0.91,5.7857,8.55,116002.0,True,True
1840,ADES,Industrials,Pollution & Treatment Controls,USA,101860000.0,-999,-999,-999,1.08,0.58,1.58,-999,0.601,0.0208,0.1655,-0.0276,0.19,-0.118,3.31,0.18,-0.1996,0.1842,-0.1878,1.6239,-0.8947,2.07,3.07,415167.0,True,True
1993,CRWS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,50890000.0,11.58,-999,2.32,0.62,1.01,0.18,0.1323,0.0178,0.096,0.3566,0.0036,1.25,0.0888,1.72,0.52,0.0533,0.0249,-0.1704,0.2092,-0.7085,33.709,4.97,397586.0,True,True
2011,FLWS,Consumer Cyclical,Specialty Retail,USA,717150000.0,-999,23.89,-999,0.36,1.62,0.13,-999,0.1312,0.0015,0.3697,-0.0219,4.78,-0.0918,0.4,0.81,-0.0213,0.1509,-0.1685,0.8494,-0.721,12.0,11.05,342450.0,True,True
2018,TLS,Technology,Software - Infrastructure,USA,304240000.0,-999,-999,-999,2.01,1.85,1.44,-999,0.1314,0.0137,0.5908,0.0105,1.12,-0.2713,4.57,0.07,-0.305,0.0945,-0.1676,1.8562,-0.8956,1.8562,4.37,562941.0,True,True
2039,HFFG,Consumer Defensive,Food Distribution,USA,296200000.0,-999,-999,-999,0.26,1.02,0.26,-0.5542,0.4172,0.0092,0.1648,-0.0224,6.85,-0.0282,0.5,0.68,-0.0071,0.0821,-0.1649,0.5996,-0.8437,0.5996,5.47,662421.0,True,True
2102,CCL,Consumer Cyclical,Travel Services,USA,21020000000.0,-999,12.39,-999,0.97,3.02,1.92,-999,2.2574,0.0016,0.4753,0.0932,3.22,-0.0106,0.41,4.63,-0.0034,0.0118,-0.157,0.9881,-0.7711,7.5508,16.64,5114894.0,True,True
2273,CULP,Consumer Cyclical,Textile Manufacturing,USA,64350000.0,-999,14.33,-999,0.28,0.77,1.3,-999,-0.054,0.0251,0.496,-0.0138,2.04,-0.2091,1.06,0.06,-0.0847,-0.0457,-0.139,0.2286,-0.8626,3.3227,5.16,183147.0,True,True
2339,BVS,Healthcare,Medical Devices,USA,302890000.0,-999,14.4,-999,0.6,1.71,0.43,-0.8253,0.135,0.0146,0.3172,0.0206,4.98,-0.4706,0.94,2.31,-0.3621,0.0491,-0.1322,5.0133,-0.7588,5.0133,4.81,1767090.0,True,True
2503,SMLR,Healthcare,Medical Devices,USA,306200000.0,17.91,10.32,-999,4.58,4.24,8.16,-999,0.2864,0.0513,0.5737,0.4029,3.72,0.318,7.45,0.0,0.2926,0.0702,-0.1173,1.3311,-0.7091,38.7804,44.57,2147273.0,True,True
2744,TGI,Industrials,Aerospace & Defense,USA,1200000000.0,-999,18.83,-999,0.86,-999,2.21,-999,-0.1355,0.0074,0.9354,-0.0588,3.36,-999,1.47,-999,-0.0186,0.2135,-0.095,1.2329,-0.8172,4.1755,15.63,187181.0,True,True
2753,GEL,Energy,Oil & Gas Midstream,USA,1420000000.0,26.02,10.43,0.59,0.46,2.56,0.33,-999,0.0161,0.0011,0.6464,-0.0514,5.12,0.1039,0.94,2.59,0.0175,-0.0258,-0.0939,0.4385,-0.7985,5.7382,11.58,203784.0,True,True
2939,TTSH,Consumer Cyclical,Home Improvement Retail,USA,313940000.0,28.22,-999,1.41,0.83,2.65,0.38,0.0871,0.0282,0.0237,0.434,-0.2518,4.67,0.0905,0.36,1.19,0.0286,0.0543,-0.0808,0.7322,-0.7523,75.4824,7.05,2785035.0,True,True
3005,SPB,Consumer Defensive,Household & Personal Products,USA,2780000000.0,1.76,17.79,0.1,0.95,1.1,52.6,0.1707,-0.0384,0.049,1.0144,-0.0535,4.3,-0.1237,3.22,0.67,0.6181,0.0415,-0.076,0.3896,-0.9109,9.4251,78.77,4015177.0,True,True
3398,AXR,Real Estate,Real Estate - Development,USA,112510000.0,6.06,-999,-999,2.75,0.99,4.12,1.6854,0.4662,0.0368,0.3639,-0.0056,3.05,0.1847,-999,0.0,0.4568,0.0995,-0.0543,0.8124,-0.8537,10.6843,21.35,1823065.0,True,True
3608,ADV,Communication Services,Advertising Agencies,USA,1290000000.0,-999,8.08,-999,0.3,1.2,0.57,-999,0.0886,0.0018,0.1864,-0.0731,8.54,-0.8332,1.76,1.78,-0.3542,0.241,-0.0403,2.5044,-0.7155,2.5044,3.96,900092.0,True,True
3682,NRP,Energy,Thermal Coal,USA,1240000000.0,8.46,-999,-999,4.17,2.51,1.46,0.276,0.2113,0.0007,0.2877,0.0157,6.4,0.4888,1.14,0.38,0.6366,0.1708,-0.0351,1.2028,-0.7562,19.9647,98.42,222795.0,True,True
3763,ACR,Real Estate,REIT - Mortgage,USA,84260000.0,-999,4.51,-999,0.39,0.19,11.86,-999,0.3434,0.0509,0.3667,-0.0473,0.5,0.0301,-999,4.07,-0.0288,0.134,-0.0283,0.5045,-0.956,2.4947,9.96,949288.0,True,True
3994,CFBK,Financial,Banks - Regional,USA,142350000.0,8.1,-999,-999,1.37,0.76,-999,0.7032,0.3948,0.0022,0.2407,-0.0135,1.84,0.1214,-999,0.86,0.1669,0.2255,-0.0136,0.4777,-0.9562,2.5868,21.7,100002.0,True,True
4228,PAGP,Energy,Oil & Gas Midstream,USA,3280000000.0,20.55,10.55,-999,0.07,2.14,1.33,-999,0.21,0.0118,0.9171,0.0144,5.14,0.125,0.84,5.41,0.0039,0.0502,0.0,0.4165,-0.8052,4.4934,16.7,1006694.0,True,True
