No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
3530,SAVE,Industrials,Airlines,USA,745610000.0,-999.0,-999.0,-999.0,0.14,0.57,9.61,-999.0,0.2674,0.0,0.6909,0.0037,1.3,-0.3387,0.91,5.01,-0.0984,-0.4387,-0.6354,0.7113,-0.9129,0.7113,6.83,0.0,False,False,3
753,CCRD,Technology,Software - Application,USA,109890000.0,28.4,35.19,-999.0,1.84,2.02,4.36,1.0737,0.3858,0.0,0.4394,-0.0173,11.77,0.0733,4.74,0.03,0.0654,-0.0029,-0.633,0.1263,-0.7685,25.3541,13.02,0.0,False,True,5
1209,DOUG,Real Estate,Real Estate Services,USA,161420000.0,-999.0,-999.0,-999.0,0.17,0.65,1.48,-999.0,0.1573,0.0093,0.5254,-0.0028,0.44,-0.174,-999.0,0.55,-0.0491,-0.2394,-0.6324,0.1594,-0.849,0.1594,1.82,315273.0,True,True,4
1107,DAO,Consumer Defensive,Education & Training Services,China,127810000.0,-999.0,-999.0,-999.0,0.17,-999.0,1.43,-0.3785,0.6358,0.0,0.444,-0.006,5.55,-999.0,0.32,-999.0,-0.112,-0.0086,-0.629,0.2619,-0.9222,0.2619,3.71,0.0,False,False,4
3731,SPWH,Consumer Cyclical,Specialty Retail,USA,138600000.0,-999.0,-999.0,-999.0,0.11,0.51,0.08,0.1883,0.1621,0.0959,0.947,-0.0691,4.53,-0.0332,0.09,2.01,-0.0071,-0.1361,-0.6275,0.2433,-0.7993,0.2433,3.7,571111.0,True,True,4
2396,LL,Consumer Cyclical,Home Improvement Retail,USA,71600000.0,-999.0,-999.0,-999.0,0.07,0.38,0.32,0.2066,0.0064,0.0,0.411,-0.1266,3.44,-0.4531,0.19,1.32,-0.1052,-0.2877,-0.6264,0.1429,-0.9807,0.1429,2.32,0.0,False,True,4
1960,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,USA,370870000.0,-999.0,67.4,-999.0,3.25,4.9,2.1,0.0303,0.2243,0.0156,0.7689,-0.0457,8.32,-0.3692,5.33,2.5,-0.1244,0.0583,-0.6262,0.3895,-0.934,20.12,10.56,990926.0,True,False,4
4085,UNFI,Consumer Defensive,Food Distribution,USA,969080000.0,-999.0,20.03,-999.0,0.03,0.57,0.62,-0.3442,0.3013,0.0004,0.8173,-0.0008,2.97,-0.0458,0.51,2.11,-0.0027,0.0483,-0.6207,0.2664,-0.8056,3.6605,16.31,-14798.0,False,True,3
1774,GNSS,Technology,Scientific & Technical Instruments,USA,68230000.0,-999.0,33.21,-999.0,1.46,1.71,0.25,-0.3399,0.135,0.2791,0.4243,-0.0143,2.28,-0.4369,1.63,0.16,-0.3942,-0.0922,-0.6192,0.0265,-0.8955,4.2261,1.55,2967750.0,True,True,4
408,AXTI,Technology,Semiconductor Equipment & Materials,USA,109100000.0,-999.0,-999.0,-999.0,1.33,0.54,1.0,0.0708,0.1066,0.0,0.5132,0.0352,2.14,-0.0613,1.09,0.24,-0.1594,0.0218,-0.6192,0.3228,-0.9496,2.7879,2.5,0.0,False,True,6
3855,TBNK,Financial,Banks - Regional,USA,82210000.0,16.28,18.81,4.07,1.15,0.33,-999.0,-0.2247,-0.0095,0.0,0.3973,0.0045,1.3,0.0196,-999.0,1.27,0.0696,-0.0957,-0.6188,0.3591,-0.7107,0.3591,9.31,0.0,False,True,2
3899,TG,Industrials,Metal Fabrication,USA,161730000.0,-999.0,-999.0,-999.0,0.22,1.04,1.41,-0.0624,-0.0201,0.0,0.5855,-0.0052,2.14,-0.4107,1.11,1.09,-0.1024,-0.0507,-0.6185,0.0805,-0.7918,3.8809,4.7,0.0,False,True,2
175,ALTO,Basic Materials,Specialty Chemicals,USA,138070000.0,-999.0,29.37,-999.0,0.11,0.49,0.48,0.0681,0.0055,0.0,0.4154,-0.152,1.68,-0.1334,1.9,0.34,-0.034,-0.1992,-0.6162,0.5909,-0.9996,7.6782,1.91,0.0,False,True,6
2188,JD,Consumer Cyclical,Internet Retail,China,30050000000.0,10.37,6.91,0.55,0.2,1.1,25.14,-999.0,0.2271,0.0,0.1677,-0.1109,1.5,0.1099,1.1,0.3,0.0222,-0.1301,-0.6137,0.0593,-0.7912,0.1771,22.06,0.0,False,True,4
79,AE,Energy,Oil & Gas Refining & Marketing,USA,61050000.0,-999.0,38.0,-999.0,0.02,0.65,9.76,-999.0,0.3107,0.0041,0.6079,-0.0295,1.23,-0.047,0.98,0.62,-0.0022,-0.0592,-0.6129,0.0318,-0.7348,12.68,23.94,5929.0,False,True,4
3154,PGY,Technology,Software - Infrastructure,Israel,782080000.0,-999.0,-999.0,-999.0,1.06,1.46,0.39,-999.0,2.1987,0.0,0.1633,0.0459,0.42,-0.2684,4.63,0.92,-0.1999,-0.1382,-0.6127,0.4054,-0.9682,0.9228,1.1,0.0,False,True,4
