No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price
3424,RHP,RUT,Real Estate,REIT - Hotel & Motel,USA,7150000000.0,23.15,23.05,1.49,3.32,12.43,10.21,12.84,11.73,0.0351,0.7183,0.74,-0.1823,0.186,0.0085,0.1551,0.2988,0.1128,1.4185,0.0288,-0.0359,0.9563,-0.0057,0.0121,0.9368,0.0953,-,-,4.74,6.16,0.2307,0.1442,0.0071,0.0744,0.2217,0.2797,1.58,0.0607,-0.0251,0.5541,-0.0251,29.7911,Feb 22/a,119.82
3425,RICK,RUT,Consumer Cyclical,Restaurants,USA,530240000.0,20.22,9.33,0.51,1.78,1.85,25.06,21.29,2.26,0.0042,0.0766,1.03,-0.0912,0.363,0.0784,0.4,0.1534,0.0563,-0.3045,0.1219,-0.0065,0.4407,-0.0694,0.0425,0.0974,0.049,0.84,0.75,0.87,0.95,0.5358,0.0881,0.0141,-0.0988,-0.0117,-0.3132,1.67,-0.081,-0.3547,0.1233,-0.4187,112.3,Feb 08/a,56.65
3426,RIG,-,Energy,Oil & Gas Drilling,Switzerland,3870000000.0,-,10.45,-,1.37,0.37,3.89,-,1.23,-,-,-0.12,0.9746,19.7263,0.2186,-,-0.0059,0.2228,0.7347,0.1173,-0.0006,0.6857,0.0293,0.1786,-0.09,-0.0535,1.52,1.22,0.71,0.75,0.036,-0.3369,-0.0165,-0.1716,-0.2472,-0.3022,2.77,-0.1404,-0.4617,0.0742,-0.9707,6.3538,Feb 19/a,4.78
3427,RIGL,RUT,Healthcare,Biotechnology,USA,270270000.0,-,-,-,2.04,-,4.33,-,0.36,-,-,-0.02,0.4997,0.4515,0.1134,-,0.3359,0.2554,0.7039,0.0209,-0.0215,0.6186,-0.0884,0.0205,-6.9905,-0.8634,1.97,1.84,-,-,0.9723,-0.1845,0.3839,0.1923,0.5733,0.0197,0.96,0.1906,-0.2092,1.177,-0.9865,1.4219,Mar 05/a,1.55
3428,RILY,RUT,Financial,Financial Conglomerates,USA,582550000.0,-,-,-,0.4,1.41,0.14,-,138.45,0.21,-,-,-,-,-,-,0.3389,0.0787,-2.655,0.4595,0.0029,0.504,-0.0418,0.6852,-0.1461,-0.0278,-,-,5.6,5.94,0.5432,-0.0521,0.2533,-0.2141,-0.0063,-0.5117,1.55,-0.062,-0.6862,0.3174,-0.8768,120.945,Feb 29/a,19.05
3429,RIO,-,Basic Materials,Other Industrial Metals & Mining,United Kingdom,80030000000.0,10.42,9.06,-,1.49,1.9,7.42,9.45,8.62,0.0702,0.6996,-,0.0691,-0.0897,-0.048,-0.033,0.0739,0.0043,0.3295,0.0,-,0.1058,0.0482,0.0057,0.1913,0.1478,1.69,1.17,0.24,0.26,0.274,0.1861,-0.0232,-0.0998,-0.0734,-0.0752,0.74,-0.084,-0.1506,0.0976,-0.4047,10.3302,Feb 21/b,63.96
3430,RIOT,RUT,Financial,Capital Markets,USA,3230000000.0,-,-,-,11.51,1.91,3.56,-,4.4,-,-,-0.21,-1.3902,0.7085,0.4206,0.2,3.5176,0.3103,1.3696,0.1026,-0.0027,0.5019,0.0868,0.1676,-0.0326,-0.0259,8.33,8.33,0.01,0.01,-0.8052,-0.1763,0.0364,0.355,0.324,1.604,4.31,0.1057,-0.2421,2.0329,-0.9952,29.6262,Feb 22/a,15.65
3431,RITM,-,Real Estate,REIT - Mortgage,USA,5140000000.0,9.65,5.9,0.68,1.35,0.89,3.07,4.66,3.46,0.0941,0.9081,0.39,-0.1971,0.0892,-0.1708,0.1414,0.3065,3.6378,-2.0653,0.0054,0.0,0.4742,0.0408,0.0173,0.0892,0.0171,-,-,3.44,3.7,0.9545,0.1404,0.0028,-0.0336,0.0483,0.1617,1.79,-0.0039,-0.0466,0.4365,-0.3965,2.8874,Feb 07/b,10.63
3432,RIV,-,Financial,Closed-End Fund - Equity,USA,253360000.0,-,-,-,-,-,-,-,-,0.13,3.1894,-,-,-,-,-,-,-,-,0.0115,0.0103,0.2193,-,0.0015,-,-,-,-,-,-,-,-,0.0243,0.0332,0.1216,-0.0025,0.75,0.0353,-0.0117,0.2264,-0.4362,0.3854,Nov 29/b,11.81
3433,RIVN,-,Consumer Cyclical,Auto Manufacturers,USA,10940000000.0,-,-,-,2.47,1.2,1.17,-,9.68,-,-,-1.15,0.1422,0.3199,-0.8659,-,7.7049,0.9834,0.1539,0.3003,-0.0,0.5097,0.0803,0.166,-0.4736,-0.3888,4.95,3.9,0.53,0.54,-0.5201,-1.2251,-0.2658,-0.299,-0.3217,-0.3875,1.92,-0.355,-0.5973,0.1244,-0.937,0.1244,Feb 21/a,11.3
3434,RJF,S&P 500,Financial,Capital Markets,USA,25170000000.0,15.09,12.05,1.09,1.86,2.35,1.77,-,67.92,0.0151,0.2109,2.3,0.1436,0.053,0.1576,0.139,0.1196,0.1626,0.0105,0.0976,-0.0034,0.7526,0.0072,0.0218,0.1669,0.0246,-,-,5.47,5.52,0.8642,0.1272,0.0308,0.0727,0.1437,0.1189,1.05,0.064,-0.0039,0.4687,-0.0442,618.5545,Jan 24/a,120.43
3435,RKLB,RUT,Industrials,Aerospace & Defense,USA,2230000000.0,-,-,-,9.12,4.05,9.11,-,0.5,-,-,-0.08,-0.2644,0.7853,-,-,1.1065,0.159,-0.3193,0.4091,-0.0187,0.2626,-0.0027,0.1609,-0.2974,-0.2559,2.13,1.65,0.29,0.32,0.173,-0.7464,-0.0108,-0.107,0.0749,0.0,1.21,-0.0569,-0.4298,0.268,-0.7849,0.319,Feb 27/a,4.59
3436,RKT,-,Financial,Mortgage Finance,USA,1600000000.0,-,20.25,-,0.45,2.61,1.41,32.05,8.52,-,0.0,0.01,5.6804,0.8107,-,-,0.3332,0.3443,0.3798,0.1189,0.0,0.6388,-0.0023,0.176,-0.0258,-0.0018,-,-,12.67,15.3,0.9692,-0.0043,0.0918,-0.0617,0.3126,0.5241,2.39,-0.0451,-0.2093,0.675,-0.6854,1.0117,Feb 22/a,12.01
