No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
4079,ULTA,Consumer Cyclical,Specialty Retail,USA,24540000000.0,20.5,18.75,3.12,2.26,12.12,2.51,0.2179,0.1297,-0.0244,0.9208,0.0147,1.82,0.6264,0.26,1.04,0.1137,0.0674,-0.0921,0.3731,-0.0921,123.3271,505.33
4080,UMBF,Financial,Banks - Regional,USA,3990000000.0,11.45,10.7,-,1.68,1.29,-,0.1282,0.1698,-0.0405,0.8957,-0.0048,1.77,0.1214,-,1.39,0.1471,0.0368,-0.1129,0.6223,-0.2675,31.6275,82.22
4081,UMH,Real Estate,REIT - Residential,USA,989360000.0,-,201.35,-,4.65,2.49,0.58,-0.3915,0.1092,-0.0004,0.7476,0.0038,2.81,0.0007,-,1.02,-0.0718,-0.0079,-0.2104,0.1237,-0.4359,12.7895,14.9
4082,UNB,Financial,Banks - Regional,USA,132950000.0,11.45,-,-,2.07,2.7,-,0.0956,0.1038,0.0011,0.1492,-0.0678,1.56,0.3191,-,2.08,0.3013,-0.0225,-0.0788,0.4689,-0.464,2.2105,29.48
4083,UNF,Industrials,Specialty Business Services,USA,3130000000.0,29.18,21.36,3.74,1.37,1.54,4.94,-0.0761,0.0575,-0.0017,0.792,0.0018,2.37,0.0563,1.72,0.03,0.049,0.0008,-0.1528,0.1573,-0.3272,53.1111,174.17
4084,UNFI,Consumer Defensive,Food Distribution,USA,951150000.0,-,19.66,-,0.03,0.56,0.62,-0.3442,0.3013,0.0004,0.8193,-0.0008,3.04,-0.0458,0.51,2.11,-0.0027,0.036,-0.6357,0.243,-0.8092,3.5743,16.01
4085,UNH,Healthcare,Healthcare Plans,USA,471920000000.0,21.39,16.3,1.69,1.27,5.59,-,0.1437,0.1048,-0.1034,0.8911,-0.0069,1.78,0.2726,-,0.74,0.0602,-0.0374,-0.0802,0.1448,-0.0858,6218.9468,510.23
4086,UNIT,Real Estate,REIT - Specialty,USA,1250000000.0,-,12.38,-,0.87,-,0.14,0.21,0.0263,0.0,0.8545,-0.0045,11.92,-,-,-,-0.0303,-0.061,-0.2357,0.7823,-0.8487,0.7823,5.24
4087,UNM,Financial,Insurance - Life,USA,9230000000.0,7.29,5.43,0.91,0.75,0.96,-,0.2227,0.0151,-0.0201,0.8693,0.0009,2.23,0.1349,-,0.36,0.1036,0.0552,-0.0922,0.3052,-0.2426,11.3243,47.34
4088,UNP,Industrials,Railroads,USA,151380000000.0,23.75,19.7,2.41,6.28,10.81,1.76,0.0573,0.0155,-0.0036,1.0985,-0.0111,1.97,0.4734,0.57,2.29,0.2645,0.0479,-0.0044,0.3519,-0.1097,98.5048,248.33
4089,UNTY,Financial,Banks - Regional,USA,274240000.0,7.09,6.38,-,1.81,1.05,-,0.1236,0.1532,-0.0024,0.4777,-0.0199,1.61,0.1586,-,1.4,0.2619,-0.0325,-0.1121,0.3623,-0.131,19.7402,27.26
4090,UONEK,Communication Services,Broadcasting,USA,177920000.0,-,-,-,-,0.64,4.01,-,-,-0.0,0.2016,-0.0087,4.78,-,3.73,2.68,-,-0.0589,-0.4259,0.0931,-0.87,59.6667,3.64
4091,UP,Industrials,Airports & Air Services,USA,2360000000.0,-,-,-,1.66,3.88,0.35,-,0.5206,-0.0,0.1532,-0.0287,2.41,-2.1772,0.44,2.2,-0.4559,0.1182,-0.7685,2.449,-0.9775,2.449,3.38
4092,UPBD,Technology,Software - Application,USA,1800000000.0,243.0,8.81,7.97,0.45,3.06,1.95,0.118,0.1531,-0.0044,0.8201,-0.0416,5.2,0.0152,0.58,2.58,0.0022,0.0223,-0.0829,0.4795,-0.5105,23.8775,33.17
4093,UPLD,Technology,Software - Application,USA,136230000.0,-,5.96,-,0.45,0.93,7.63,-0.1692,0.2204,-0.0074,0.8219,0.0261,2.54,-0.814,2.3,4.01,-0.63,-0.0038,-0.553,0.7897,-0.9209,0.7897,4.34
4094,UPS,Industrials,Integrated Freight & Logistics,USA,120850000000.0,18.21,14.45,-,1.33,6.3,7.13,0.072,0.052,-0.0002,0.6024,-0.0045,3.09,0.3617,1.22,1.54,0.0739,-0.0899,-0.2829,0.0611,-0.3931,2.7339,141.85
4095,UPST,Financial,Credit Services,USA,2780000000.0,-,319.27,-,5.37,4.34,7.23,-0.6564,0.9258,-0.0264,0.458,-0.1473,2.92,-0.3722,0.56,1.95,-0.4885,-0.0674,-0.5495,1.741,-0.9186,1.741,32.7
4096,UPWK,Industrials,Staffing & Employment Services,USA,1930000000.0,-,21.03,-,2.89,5.62,4.08,-0.4701,0.2512,-0.0088,0.7783,-0.0333,4.17,0.0444,3.2,1.08,0.0195,-0.0226,-0.1351,1.157,-0.7806,1.7529,14.15
4097,URBN,Consumer Cyclical,Apparel Retail,USA,3770000000.0,14.09,11.61,0.51,0.75,1.84,4.91,0.1206,0.0618,0.0,0.7209,-0.0268,2.87,0.1434,0.73,0.53,0.0537,0.0986,-0.0083,0.6421,-0.2265,49.4668,40.61
4098,URG,Energy,Uranium,USA,534640000.0,-,61.85,-,43.68,7.3,0.21,-,-0.295,-0.0715,0.47,-0.055,2.41,-0.4305,5.31,0.11,-2.458,0.2403,0.005,1.4509,-0.5856,6.417,2.01
4099,URGN,Healthcare,Biotechnology,USA,507440000.0,-,-,-,6.57,-,4.81,-0.176,164.2318,-0.0032,0.6602,-0.0062,11.95,-,6.87,-,-1.352,0.1412,-0.3174,1.1252,-0.7633,2.3959,16.47
4100,URI,Industrials,Rental & Leasing Services,USA,43960000000.0,18.5,14.03,1.11,3.07,5.41,5.4,0.2188,0.1285,-0.0366,0.964,-0.0069,5.28,0.3191,0.75,1.56,0.1691,0.1985,-0.0065,1.012,-0.0067,258.6032,654.2
